codigo,marca,tipo,categoria,preco_unitario,custo,obs
MOLO000251,Logitech,Mouse,1,25.95,6.50,
MOLO000192,Logitech,Mouse,2,19.95,5.00,
CAHA000251,Hashtag,Camisa,1,25.00,11.00,
CAHA000252,Hashtag,Camisa,2,25.00,11.00,Conferir estoque
MOMU000111,Multilaser,Mouse,1,11.99,3.40,
BOHA000251,Hashtag,Bone,1,25.00,11.00,
BOHA000252,Hashtag,Bone,2,25.00,11.00,
CAHA000273,Hashtag,Camisa,3,27.50,12.40,Troca de fornecedor
CAHA000274,Hashtag,Camisa,4,27.50,12.40,
CAHA000275,Hashtag,Camisa,5,27.50,12.40,
TELG000821,LG,Televisao,1,820.00,172.20,
TELG000252,LG,Televisao,2,250.00,62.50,
TELG000373,LG,Televisao,3,378.00,83.20,
TELG000524,LG,Televisao,4,520.00,145.60,
TESA000125,Samsung,Televisao,5,1260.00,378.00,
TESA000346,Samsung,Televisao,6,340.00,71.40,
TESA000747,Samsung,Televisao,7,740.00,214.60,
TESA000108,Samsung,Televisao,8,10000.00,3000.00,
TESA000729,Samsung,Televisao,9,720.00,201.60,
TESA0002010,Samsung,Televisao,10,2000.00,440.00,
TEAO0002511,AOC,Televisao,11,250.00,62.50,
TEAO0003612,AOC,Televisao,12,360.00,97.20,
TETO0006413,Toshiba,Televisao,13,640.00,185.60,
TETO0008014,Toshiba,Televisao,14,800.00,192.00,
TETO0006015,Toshiba,Televisao,15,600.00,144.00,
TESE0005016,SEMP,Televisao,16,500.00,125.00,
TESE0003817,SEMP,Televisao,17,380.00,91.20,
TESE0005018,SEMP,Televisao,18,500.00,140.00,
TEPH0004019,Philco,Televisao,19,400.00,120.00,
TEPH0002720,Philco,Televisao,20,279.80,56.00,
TETC0001521,TCL,Televisao,21,158.00,36.30,
TETC0002222,TCL,Televisao,22,220.00,59.40,
REGA000441,Garmin,Relogio,1,440.00,96.80,
REGA000722,Garmin,Relogio,2,720.00,187.20,
REXI000463,Xiaomi,Relogio,3,46.40,11.60,
REXI000744,Xiaomi,Relogio,4,74.00,15.50,
REXI000365,Xiaomi,Relogio,5,36.00,7.90,
REXI000116,Xiaomi,Relogio,6,114.00,23.90,
RESA000287,Samsung,Relogio,7,280.00,72.80,
RESA000298,Samsung,Relogio,8,290.00,72.50,
RESA000389,Samsung,Relogio,9,380.00,110.20,
RESA0003210,Samsung,Relogio,10,320.00,83.20,
CEAP000101,Apple,Celular,1,1099.00,329.70,
CEAP000112,Apple,Celular,2,1199.00,287.80,
CEAP000133,Apple,Celular,3,1399.00,377.70,
CEAP000154,Apple,Celular,4,1599.00,367.80,
CEAP000995,Apple,Celular,5,999.00,269.70,
CEAP000106,Apple,Celular,6,1099.00,329.70,
CEAP000127,Apple,Celular,7,1299.00,298.80,
CEAP000148,Apple,Celular,8,1499.00,329.80,
CEAP000799,Apple,Celular,9,799.00,215.70,
CEAP0008910,Apple,Celular,10,899.00,197.80,
CEAP0001011,Apple,Celular,11,1099.00,329.70,
CEAP0006912,Apple,Celular,12,699.00,167.80,
CEAP0007913,Apple,Celular,13,799.00,215.70,
CEAP0009914,Apple,Celular,14,999.00,269.70,
CEAP0004215,Apple,Celular,15,429.00,115.80,
CEAP0004716,Apple,Celular,16,479.00,138.90,
CEAP0005717,Apple,Celular,17,579.00,115.80,
CEAP0009418,Apple,Celular,18,949.00,256.20,
CEAP0001019,Apple,Celular,19,1049.00,304.20,
CEAP0001220,Apple,Celular,20,1249.00,362.20,
CEAP0001421,Apple,Celular,21,1449.00,347.80,
CEAP0008422,Apple,Celular,22,849.00,178.30,
CEAP0009423,Apple,Celular,23,949.00,256.20,
CEAP0001124,Apple,Celular,24,1149.00,252.80,
CEAP0001325,Apple,Celular,25,1349.00,296.80,
CEAP0006426,Apple,Celular,26,649.00,181.70,
CEAP0007427,Apple,Celular,27,749.00,157.30,
CEAP0009428,Apple,Celular,28,949.00,256.20,
CEAP0005429,Apple,Celular,29,549.00,115.30,
CEAP0006430,Apple,Celular,30,649.00,181.70,
CEAP0008431,Apple,Celular,31,849.00,178.30,
CEAP0005932,Apple,Celular,32,599.00,137.80,
CEAP0006933,Apple,Celular,33,699.00,181.70,
CEAP0005434,Apple,Celular,34,549.00,120.80,
CEAP0006435,Apple,Celular,35,649.00,142.80,
CEAP0004436,Apple,Celular,36,449.00,103.30,
CEAP0004937,Apple,Celular,37,499.00,129.70,
CEAP0004938,Apple,Celular,38,499.00,124.80,
CEAP0005439,Apple,Celular,39,549.00,142.70,
CESA0002040,Samsung,Celular,40,200.00,48.00,
NODE000441,Dell,Notebook,1,448.00,134.40,
NODE000512,Dell,Notebook,2,512.00,107.50,
NOLE000183,Lenovo,Notebook,3,188.61,41.50,
NOAC000224,Acer,Notebook,4,227.00,65.80,
NOHP000215,HP,Notebook,5,214.00,49.20,
NOMI000426,Microsoft,Notebook,6,429.00,90.10,
NOHP000797,HP,Notebook,7,799.00,199.80,
NOHP000238,HP,Notebook,8,239.88,64.80,
NOLE000989,Lenovo,Notebook,9,989.99,217.80,
NOHP0005210,HP,Notebook,10,529.00,111.10,
NOSA0001311,Samsung,Notebook,11,1349.99,270.00,
NOHP0003512,HP,Notebook,12,359.00,100.50,
NOAS0006213,Asus,Notebook,13,629.99,189.00,
RESA000501,Samsung,Relogio,1,50.00,14.50,
RESA000602,Samsung,Relogio,2,60.00,15.60,
REAP000783,Apple,Relogio,3,789.00,228.80,
CESA000301,Samsung,Celular,1,300.00,66.00,
CESA000402,Samsung,Celular,2,400.00,96.00,
CESA000103,Samsung,Celular,3,100.00,28.00,
CESA000154,Samsung,Celular,4,150.00,31.50,
CESA000205,Samsung,Celular,5,200.00,56.00,
CESA000276,Samsung,Celular,6,270.00,81.00,
CESA000107,Samsung,Celular,7,100.00,27.00,
CESA000808,Samsung,Celular,8,800.00,176.00,
CESA000909,Samsung,Celular,9,900.00,198.00,
CESA0001210,Samsung,Celular,10,120.00,31.20,
CESA0001511,Samsung,Celular,11,150.00,26.97,
CESA0002012,Samsung,Celular,12,200.00,92.81,
CEXI0002513,Xiaomi,Celular,13,257.00,74.50,
CEXI0003114,Xiaomi,Celular,14,317.00,133.30,
CEXI0001515,Xiaomi,Celular,15,159.00,42.90,
CEXI0002116,Xiaomi,Celular,16,219.00,56.90,
CEXI0002417,Xiaomi,Celular,17,249.00,96.80,
CEXI0003218,Xiaomi,Celular,18,329.00,75.70,
CEXI0002919,Xiaomi,Celular,19,299.00,38.96,
CEXI0002420,Xiaomi,Celular,20,249.00,104.80,
CEXI0002521,Xiaomi,Celular,21,250.00,145.28,
CEXI0002722,Xiaomi,Celular,22,279.00,49.98,
CEXI0003523,Xiaomi,Celular,23,350.00,122.27,
CEMO0006924,Motorola,Celular,24,69.00,18.60,
CEMO0009925,Motorola,Celular,25,99.00,25.70,
NOLE000741,Lenovo,Notebook,1,749.00,224.70,
NODE000492,Dell,Notebook,2,498.00,109.60,
NOAS000153,Asus,Notebook,3,1599.00,415.70,
NOHP000594,HP,Notebook,4,599.00,131.80,
NOAC000525,Acer,Notebook,5,529.99,143.10,
NOAC000216,Acer,Notebook,6,2199.00,483.80,
NOAC000127,Acer,Notebook,7,1299.00,285.80,
NODE000608,Dell,Notebook,8,600.00,132.00,
NODE000749,Dell,Notebook,9,740.00,170.20,
NOHP0007510,HP,Notebook,10,750.00,210.00,
NOLE0009911,Lenovo,Notebook,11,999.00,259.70,
CAHA000271,Hashtag,Camisa,1,27.50,12.40,
TELO000131,Logitech,Teclado,1,138.00,37.30,
TEDE000362,Dell,Teclado,2,36.00,8.30,
TELO000443,Logitech,Teclado,3,44.00,11.00,
TEDE000484,Dell,Teclado,4,48.00,11.50,
MOLG000121,LG,Monitor,1,129.00,34.80,
MOSA000152,Samsung,Monitor,2,159.99,41.60,
MOLG000173,LG,Monitor,3,1796.99,467.20,
MOHA000251,Hashtag,Mochila,1,25.00,11.00,
MOHA000252,Hashtag,Mochila,2,25.00,11.00,
CAHA000253,Hashtag,Camisa,3,25.00,11.00,
CAHA000254,Hashtag,Camisa,4,25.00,11.00,
CHHA000275,Hashtag,Chaveiro,5,27.00,12.40,
CAHA000276,Hashtag,Camisa,6,27.00,12.40,
CAHA000277,Hashtag,Camisa,7,27.00,12.40,
CAHA000278,Hashtag,Camisa,8,27.00,12.40,
CAHA0009.9,Hashtag,Camisa,9,9.90,4.50,
CAHA0004510,Hashtag,Casaco,10,45.90,19.70,
CAHA0004511,Hashtag,Casaco,11,45.90,19.70,
CAHA0004512,Hashtag,Casaco,12,45.90,19.70,
CAHA0004513,Hashtag,Casaco,13,45.90,19.70,
CAHA0004814,Hashtag,Casaco,14,48.90,20.00,
CAHA0004815,Hashtag,Casaco,15,48.90,20.00,
CAHA0004816,Hashtag,Casaco,16,48.90,20.00,
CAHA0004817,Hashtag,Casaco,17,48.90,20.00,
CAHA0004518,Hashtag,Casaco,18,45.90,19.70,
CAHA0004519,Hashtag,Casaco,19,45.90,19.70,
CAHA0004520,Hashtag,Casaco,20,45.90,19.70,
CAHA0004521,Hashtag,Casaco,21,45.90,19.70,
MOMU0004.1,Multilaser,Mouse,1,4.99,1.20,
MOMU0003.2,Multilaser,Mouse,2,3.99,1.30,
MOLO0006.3,Logitech,Mouse,3,6.99,2.30,
TELG000111,LG,Teclado,1,110.00,29.70,
CAHA000481,Hashtag,Casaco,1,48.90,20.00,
CAHA000482,Hashtag,Casaco,2,48.90,20.00,
MOSP000221,Spectre,Monitor,1,229.99,59.80,
MOSP000132,Spectre,Monitor,2,132.72,38.50,
MOSP0007.3,Spectre,Mouse,3,7.99,2.00,
TELG000201,LG,Teclado,1,20.00,4.60,
MOLG000782,LG,Monitor,2,789.99,221.20,
BEHA000481,Hashtag,Bermuda,1,48.90,20.00,
BEHA000482,Hashtag,Bermuda,2,48.90,20.00,
CAHA000123,Hashtag,Casaco,3,12.90,6.10,
CAHA000124,Hashtag,Casaco,4,12.90,6.10,
NOAC000791,Acer,Notebook,1,799.00,159.80,
NOMU000192,Multilaser,Notebook,2,199.00,41.80,
NOHP000943,HP,Notebook,3,949.00,237.30,
NOAP000144,Apple,Notebook,4,1499.00,419.70,
NOAP000255,Apple,Notebook,5,2549.00,688.20,
NOAP000646,Apple,Notebook,6,6400.00,1280.00,
NOAP000247,Apple,Notebook,7,2499.00,599.80,
NOAP000128,Apple,Notebook,8,1299.00,337.70,
NOAP000599,Apple,Notebook,9,5999.00,1679.70,
TETC000121,TCL,Televisao,1,1200.00,240.00,
TEVI000152,Vizio,Televisao,2,159.00,36.60,
TEVI000443,Vizio,Televisao,3,440.00,110.00,
TEVI000244,Vizio,Televisao,4,240.00,69.60,
TEIN000255,Insignia,Televisao,5,250.00,65.00,
TEIN000346,Insignia,Televisao,6,343.00,82.30,
TEIN000187,Insignia,Televisao,7,189.99,45.60,
TELG000398,LG,Televisao,8,390.00,93.60,
